name: AMD Radeon HD 7520G, vendor: 1002, model: 9990
name: AMD Radeon HD 7520G, vendor: 1002, model: 99A0
name: AMD Radeon HD 7540D, vendor: 1002, model: 9991
name: AMD Radeon HD 7560D, vendor: 1002, model: 9904
name: AMD Radeon HD 7570 Series, vendor: 1002, model: 6759
name: AMD Radeon HD 7570, vendor: 1002, model: 6759
name: AMD Radeon HD 7570, vendor: 1002, model: 675D
name: AMD Radeon HD 7570, vendor: 1002, model: 675F
name: AMD Radeon HD 7570, vendor: 1002, model: 68D9
name: AMD Radeon HD 7570, vendor: 1002, model: 68DA
name: AMD Radeon HD 7570M, vendor: 1002, model: 6841
name: AMD Radeon HD 7600 Series, vendor: 1002, model: 675B
name: AMD Radeon HD 7600 Series, vendor: 1002, model: 675B
name: AMD Radeon HD 7600A Series, vendor: 1002, model: 6751
name: AMD Radeon HD 7600G, vendor: 1002, model: 9908
name: AMD Radeon HD 7600G, vendor: 1002, model: 9918
name: AMD Radeon HD 7600M Series, vendor: 1002, model: 6840
name: AMD Radeon HD 7600M Series, vendor: 1002, model: 6840
name: AMD Radeon HD 7620G, vendor: 1002, model: 9907
name: AMD Radeon HD 7620G, vendor: 1002, model: 9917
name: AMD Radeon HD 7640G, vendor: 1002, model: 9903
name: AMD Radeon HD 7640G, vendor: 1002, model: 9913
name: AMD Radeon HD 7650M, vendor: 1002, model: 6741
name: AMD Radeon HD 7650M, vendor: 1002, model: 6841
name: AMD Radeon HD 7660D, vendor: 1002, model: 9901
name: AMD Radeon HD 7660G, vendor: 1002, model: 9900
name: AMD Radeon HD 7660G, vendor: 1002, model: 9910
name: AMD Radeon HD 7670, vendor: 1002, model: 6758
name: AMD Radeon HD 7670, vendor: 1002, model: 675B
name: AMD Radeon HD 7670M, vendor: 1002, model: 6843
name: AMD Radeon HD 7670M, vendor: 1002, model: 6843
name: AMD Radeon HD 7700 Series, vendor: 1002, model: 665C
name: AMD Radeon HD 7700 Series, vendor: 1002, model: 6837
name: AMD Radeon HD 7700 Series, vendor: 1002, model: 683D
name: AMD Radeon HD 7700 Series, vendor: 1002, model: 683F
name: AMD Radeon HD 7700 Series, vendor: 1002, model: 683D
name: AMD Radeon HD 7700 Series, vendor: 1002, model: 683F
name: AMD Radeon HD 7700M Series, vendor: 1002, model: 682D
name: AMD Radeon HD 7700M Series, vendor: 1002, model: 682F
name: AMD Radeon HD 7700M Series, vendor: 1002, model: 682D
name: AMD Radeon HD 7700M Series, vendor: 1002, model: 682F
name: AMD Radeon HD 7720, vendor: 1002, model: 673E
name: AMD Radeon HD 7800 Series, vendor: 1002, model: 679E
name: AMD Radeon HD 7800 Series, vendor: 1002, model: 6818
name: AMD Radeon HD 7800 Series, vendor: 1002, model: 6819
name: AMD Radeon HD 7800 Series, vendor: 1002, model: 6818
name: AMD Radeon HD 7800 Series, vendor: 1002, model: 6819
name: AMD Radeon HD 7800M Series, vendor: 1002, model: 6825
name: AMD Radeon HD 7800M Series, vendor: 1002, model: 6827
name: AMD Radeon HD 7800M Series, vendor: 1002, model: 6825
name: AMD Radeon HD 7800M Series, vendor: 1002, model: 6827
name: AMD Radeon HD 7900 Series, vendor: 1002, model: 6798
name: AMD Radeon HD 7900 Series, vendor: 1002, model: 679A
name: AMD Radeon HD 7900 Series, vendor: 1002, model: 679B
name: AMD Radeon HD 7900 Series, vendor: 1002, model: 6798
name: AMD Radeon HD 7900 Series, vendor: 1002, model: 679A
name: AMD Radeon HD 7970M, vendor: 1002, model: 6800
name: AMD Radeon HD 7970M, vendor: 1002, model: 6800
name: AMD Radeon HD 8180, vendor: 1002, model: 9839
name: AMD Radeon HD 8210, vendor: 1002, model: 9834
name: AMD Radeon HD 8240, vendor: 1002, model: 9838
name: AMD Radeon HD 8250, vendor: 1002, model: 983D
name: AMD Radeon HD 8280, vendor: 1002, model: 9836
name: AMD Radeon HD 8310G, vendor: 1002, model: 999B
name: AMD Radeon HD 8330, vendor: 1002, model: 9832
name: AMD Radeon HD 8350, vendor: 1002, model: 68E1
name: AMD Radeon HD 8350, vendor: 1002, model: 68E5
name: AMD Radeon HD 8350, vendor: 1002, model: 68F9
name: AMD Radeon HD 8350, vendor: 1002, model: 68FA
name: AMD Radeon HD 8350G, vendor: 1002, model: 9997
name: AMD Radeon HD 8370D, vendor: 1002, model: 9998
name: AMD Radeon HD 8400, vendor: 1002, model: 9830
name: AMD Radeon HD 8410G, vendor: 1002, model: 999A
name: AMD Radeon HD 8450, vendor: 1002, model: 6779
